/home/yiwangchunyu/anaconda3/envs/dl/bin/python /home/yiwangchunyu/Nextcloud/FDU/课业/机器学习理论/projects/final/code/jiont/train.py
model saved, 0.561404,0.011862
Epoch: 57/1000, train loss:0.464629, test loss:0.578656, train_acc=2284/2880=0.793056, test_acc=790/1140=0.692982, best_acc=0.778070, train_mae:0.003541, test_mae:0.002501
Epoch: 58/1000, train loss:0.475332, test loss:3.176024, train_acc=2251/2880=0.781597, test_acc=644/1140=0.564912, best_acc=0.778070, train_mae:0.003470, test_mae:0.005216
Epoch: 59/1000, train loss:0.459816, test loss:0.670964, train_acc=2314/2880=0.803472, test_acc=755/1140=0.662281, best_acc=0.778070, train_mae:0.003335, test_mae:0.002598
Epoch: 60/1000, train loss:0.498012, test loss:1.226749, train_acc=2206/2880=0.765972, test_acc=640/1140=0.561404, best_acc=0.778070, train_mae:0.003025, test_mae:0.002393
Epoch: 61/1000, train loss:0.500065, test loss:1.111000, train_acc=2205/2880=0.765625, test_acc=670/1140=0.587719, best_acc=0.778070, train_mae:0.002993, test_mae:0.001783
Epoch: 62/1000, train loss:0.459347, test loss:0.736421, train_acc=2313/2880=0.803125, test_acc=661/1140=0.579825, best_acc=0.778070, train_mae:0.002898, test_mae:0.003725
Epoch: 63/1000, train loss:0.441871, test loss:0.963722, train_acc=2299/2880=0.798264, test_acc=667/1140=0.585088, best_acc=0.778070, train_mae:0.002842, test_mae:0.001734
Epoch: 64/1000, train loss:0.382046, test loss:7.254384, train_acc=2403/2880=0.834375, test_acc=617/1140=0.541228, best_acc=0.778070, train_mae:0.002723, test_mae:0.002642
Epoch: 65/1000, train loss:0.386162, test loss:1.660516, train_acc=2387/2880=0.828819, test_acc=686/1140=0.601754, best_acc=0.778070, train_mae:0.002674, test_mae:0.002361
Epoch: 66/1000, train loss:0.398212, test loss:15.283773, train_acc=2415/2880=0.838542, test_acc=505/1140=0.442982, best_acc=0.778070, train_mae:0.002597, test_mae:0.001638
Epoch: 67/1000, train loss:0.360107, test loss:1.846142, train_acc=2443/2880=0.848264, test_acc=696/1140=0.610526, best_acc=0.778070, train_mae:0.002540, test_mae:0.003575
Epoch: 68/1000, train loss:0.355074, test loss:1.912080, train_acc=2457/2880=0.853125, test_acc=681/1140=0.597368, best_acc=0.778070, train_mae:0.002488, test_mae:0.001445
Epoch: 69/1000, train loss:0.372121, test loss:0.990069, train_acc=2426/2880=0.842361, test_acc=762/1140=0.668421, best_acc=0.778070, train_mae:0.002476, test_mae:0.004385
Epoch: 70/1000, train loss:0.382806, test loss:33.838460, train_acc=2444/2880=0.848611, test_acc=500/1140=0.438596, best_acc=0.778070, train_mae:0.002505, test_mae:0.001662
Epoch: 71/1000, train loss:0.463916, test loss:1.810130, train_acc=2269/2880=0.787847, test_acc=638/1140=0.559649, best_acc=0.778070, train_mae:0.002422, test_mae:0.004058
Epoch: 72/1000, train loss:0.500684, test loss:0.782177, train_acc=2226/2880=0.772917, test_acc=663/1140=0.581579, best_acc=0.778070, train_mae:0.002428, test_mae:0.001374
Epoch: 73/1000, train loss:0.440588, test loss:1.234973, train_acc=2364/2880=0.820833, test_acc=711/1140=0.623684, best_acc=0.778070, train_mae:0.002360, test_mae:0.001671
Epoch: 74/1000, train loss:0.364904, test loss:2.362189, train_acc=2456/2880=0.852778, test_acc=692/1140=0.607018, best_acc=0.778070, train_mae:0.002373, test_mae:0.001426
Epoch: 75/1000, train loss:0.335193, test loss:7.818175, train_acc=2479/2880=0.860764, test_acc=575/1140=0.504386, best_acc=0.778070, train_mae:0.002311, test_mae:0.001477
Epoch: 76/1000, train loss:0.328948, test loss:0.943257, train_acc=2492/2880=0.865278, test_acc=733/1140=0.642982, best_acc=0.778070, train_mae:0.002329, test_mae:0.001626
Epoch: 77/1000, train loss:0.376549, test loss:3.410312, train_acc=2419/2880=0.839931, test_acc=638/1140=0.559649, best_acc=0.778070, train_mae:0.002314, test_mae:0.001332
Epoch: 78/1000, train loss:0.370250, test loss:2.694954, train_acc=2414/2880=0.838194, test_acc=643/1140=0.564035, best_acc=0.778070, train_mae:0.002301, test_mae:0.001783
Epoch: 79/1000, train loss:0.317102, test loss:2.037489, train_acc=2489/2880=0.864236, test_acc=645/1140=0.565789, best_acc=0.778070, train_mae:0.002282, test_mae:0.003701
Epoch: 80/1000, train loss:0.312089, test loss:0.470399, train_acc=2517/2880=0.873958, test_acc=878/1140=0.770175, best_acc=0.778070, train_mae:0.002270, test_mae:0.001489
Epoch: 81/1000, train loss:0.328069, test loss:4.213305, train_acc=2498/2880=0.867361, test_acc=647/1140=0.567544, best_acc=0.778070, train_mae:0.002231, test_mae:0.001561
Epoch: 82/1000, train loss:0.286048, test loss:11.116419, train_acc=2559/2880=0.888542, test_acc=531/1140=0.465789, best_acc=0.778070, train_mae:0.002249, test_mae:0.002953
Epoch: 83/1000, train loss:0.291136, test loss:2.226168, train_acc=2535/2880=0.880208, test_acc=695/1140=0.609649, best_acc=0.778070, train_mae:0.002210, test_mae:0.008643
Epoch: 84/1000, train loss:0.280731, test loss:2.769192, train_acc=2553/2880=0.886458, test_acc=635/1140=0.557018, best_acc=0.778070, train_mae:0.002248, test_mae:0.004241
Epoch: 85/1000, train loss:0.305710, test loss:4.274383, train_acc=2531/2880=0.878819, test_acc=634/1140=0.556140, best_acc=0.778070, train_mae:0.002212, test_mae:0.001852
Epoch: 86/1000, train loss:0.332826, test loss:1.483075, train_acc=2469/2880=0.857292, test_acc=640/1140=0.561404, best_acc=0.778070, train_mae:0.002312, test_mae:0.006564
Epoch: 87/1000, train loss:0.305738, test loss:23.671823, train_acc=2528/2880=0.877778, test_acc=507/1140=0.444737, best_acc=0.778070, train_mae:0.002438, test_mae:0.001380
Epoch: 88/1000, train loss:0.321874, test loss:3.871630, train_acc=2501/2880=0.868403, test_acc=663/1140=0.581579, best_acc=0.778070, train_mae:0.002426, test_mae:0.002139
Epoch: 89/1000, train loss:0.377813, test loss:0.589310, train_acc=2422/2880=0.840972, test_acc=811/1140=0.711404, best_acc=0.778070, train_mae:0.002425, test_mae:0.001286
Epoch: 90/1000, train loss:0.331953, test loss:0.888247, train_acc=2494/2880=0.865972, test_acc=688/1140=0.603509, best_acc=0.778070, train_mae:0.002401, test_mae:0.001539
Epoch: 91/1000, train loss:0.307842, test loss:8.827284, train_acc=2523/2880=0.876042, test_acc=647/1140=0.567544, best_acc=0.778070, train_mae:0.002341, test_mae:0.001867
Epoch: 92/1000, train loss:0.371669, test loss:8.840388, train_acc=2462/2880=0.854861, test_acc=644/1140=0.564912, best_acc=0.778070, train_mae:0.002246, test_mae:0.003237
Epoch: 93/1000, train loss:0.396875, test loss:3.738689, train_acc=2426/2880=0.842361, test_acc=666/1140=0.584211, best_acc=0.778070, train_mae:0.002238, test_mae:0.001347
Epoch: 94/1000, train loss:0.464971, test loss:3.318025, train_acc=2284/2880=0.793056, test_acc=639/1140=0.560526, best_acc=0.778070, train_mae:0.002247, test_mae:0.001453
Epoch: 95/1000, train loss:0.377372, test loss:35.343610, train_acc=2435/2880=0.845486, test_acc=506/1140=0.443860, best_acc=0.778070, train_mae:0.002193, test_mae:0.001828
